	gpt-4o-mini	kimi	deepseek
107272	0.14999999999999986	0.6592398427260815	0.4989106753812643	
117674	0.28620958654763	0.09177864874953341	0.12859817173976495	
115183	0.275028768699655	0.3644736842105259	0.6993670886075949	
106336	1.0	0.47916666666666463	0.2973315153876112	
106151	0.22077922077922085	0.5452823039029937	0.3684210526315789	
106963	0.320987654320988	0.23245614035087755	0.44805194805194815	
98195	0.2954990215264191	0.4892747701736466	0.34659090909090906	
105862	0.2898431048720058	0.32573599240265866	0.14786551647865392	
99132	0.5199999999999999	1.0	1.0	
116070	0.3489583333333332	0.24731182795698956	0.48598130841121284	
105652	0.22857142857142837	1.0	1.0	
103963	0.5512820512820508	0.32980599647266334	0.41176470588235314	
104329	-0.04166666666666787	1.0	1.0	
107172	0.4866666666666663	0.3622222222222225	0.3661347517730493	
99984	1.0	1.0	1.0	
100011	0.21511627906976766	0.340659340659341	0.38711240310077505	
103660	1.0	1.0	1.0	
98783	0.7342519685039376	1.0	0.4647804774083548	
116983	0.45960047704233786	0.16992018046156493	0.5199999999999996	
103669	0.29166666666666646	0.14835164835164813	0.19985775248933116	
117892	0.3749999999999995	1.0	1.0	
116119	0.31402439024390205	0.44926058133605284	0.3114241001564948	
115106	1.0	1.0	0.4235456613584666	
98142	1.0	0.417388167388168	0.269480519480519	
99613	0.34731934731934755	0.4476744186046516	0.2436974789915965	
106959	1.0	1.0	1.0	
99614	1.0	1.0	0.16666666666666682	
102904	0.21984265734265754	0.34545454545454485	0.35231539424280334	
104499	1.0	1.0	0.711538461538461	
98794	0.26346801346801335	0.0571967316153365	0.34315789473684283	
116507	1.0	0.37770562770562743	-0.060606060606062384	
114259	0.29670329670329676	0.26482567611599855	0.324001549320021	
104656	0.27142857142857163	0.26644330805854316	0.5816464237516873	
98392	0.5502248875562218	1.0	1.0	
103847	1.0	1.0	1.0	
98191	0.0	0.0	0.0	
116761	1.0	0.37140804597701127	0.528940886699507	
99107	1.0	0.4181034482758629	0.6517412935323363	
104119	0.0	1.0	0.0	
116671	0.38311688311688363	0.27178318135764973	0.3898809523809522	
116223	0.25621345029239795	0.23902579899884485	0.7383720930232568	
114379	1.0	0.7212230215827338	1.0	
102488	1.0	0.28409090909090917	0.35195852534562216	
115211	0.39440993788819867	0.4999999999999993	0.2914979757085018	
116664	0.6369636963696367	0.4008449622327488	0.4890183774092336	
105611	-0.013071895424835262	0.36058593947995343	0.4221282593375622	
115243	0.5836734693877567	0.43080357142857123	0.4743253373313353	
98579	1.0	0.2800000000000003	1.0	
102584	1.0	1.0	0.5749999999999992	
117299	0.34065934065933995	0.3015873015873014	0.3490872524752473	
98917	0.4989898989898989	0.2816091954022989	0.5636363636363634	
116125	0.22945205479452063	1.0	0.5670995670995662	
99067	0.19343986543313693	0.1584967320261442	0.5961538461538464	
107207	0.3786549707602339	0.5384615384615382	0.5670995670995668	
117298	0.3686255463817388	0.2888888888888887	1.0	
