Documents	# of Entities	# of Relationships
102488	7	6
116664	30	5
98142	9	7
115183	10	15
99067	25	15
106151	5	4
100011	11	10
116983	9	9
103847	4	2
116223	11	5
116761	6	5
103963	10	13
105862	36	21
115243	33	46
105652	6	4
99132	3	3
102904	8	4
107272	31	44
98191	4	0
98579	6	1
106336	27	34
114259	32	41
117674	44	40
103660	15	16
116507	9	0
115106	31	41
107207	8	12
102584	13	9
105611	27	43
104329	6	5
98783	25	21
98392	5	3
116119	6	3
116070	23	17
99107	44	20
99613	2	1
98794	15	21
98917	15	11
104499	6	3
99614	1	0
106959	2	1
116125	20	6
106963	20	15
117299	13	14
98195	15	6
103669	3	1
114379	20	23
115211	5	5
104656	22	10
117892	2	0
117298	10	12
104119	0	0
107172	12	11
99984	3	3
116671	23	9
