PAIR TYPE	SIMILARITY	SAME TYPE	REF TYPE	PRED TYPE	SOURCE SIMILARITY	REF SOURCES	PRED SOURCE	TARGET SIMILARITY	REF TARGETS	PRED TARGET
Partial Match	0.3333333333333333	True	Located in	Located in	0.3333333333333333	golden-yellow yellowing	yellowing diseases	1.0	Salurn	Salurn
Partial Match	0.3333333333333333	True	Located in	Located in	0.3333333333333333	golden-yellow yellowing	yellowing diseases	1.0	Unterland	Unterland
Match	1.0	True	Located in	Located in	1.0	golden-yellow yellowing	golden-yellow yellowing	1.0	Burggrafenamt, South Tyrol	Burggrafenamt
Partial Match	0.3333333333333333	True	Affects	Affects	0.3333333333333333	Golden yellowing	yellowing diseases	1.0	vineyard, vineyards, Pinot Grigio, white wine varieties, Chardonnay, vine, red wine varieties, wine, vines	vine
Partial Match	0.75	True	Causes	Causes	0.75	FDp, Flavescence dorèe phytoplasma	Flavescence dorèe phytoplasma (FDp)	1.0	golden-yellow yellowing	golden-yellow yellowing
Partial Match	0.75	True	Transmits	Transmits	1.0	American leafhopper	American leafhopper	0.75	FDp, Flavescence dorèe phytoplasma	Flavescence dorèe phytoplasma (FDp)
Match	1.0	True	Has been found on	Have been found on	1.0	American leafhopper	American leafhopper	1.0	vineyard, vineyards, Pinot Grigio, white wine varieties, Chardonnay, vine, red wine varieties, wine, vines	vine
False Negative	0.0		Affects			golden-yellow yellowing			vineyard, vineyards, Pinot Grigio, white wine varieties, Chardonnay, vine, red wine varieties, wine, vines	
False Negative	0.0		Located in			vineyard, vineyards, Pinot Grigio, white wine varieties, Chardonnay, vine, red wine varieties, wine, vines			Unterland	
False Negative	0.0		Located in			vineyard, vineyards, Pinot Grigio, white wine varieties, Chardonnay, vine, red wine varieties, wine, vines			Burggrafenamt, South Tyrol	
False Negative	0.0		Located in			vineyard, vineyards, Pinot Grigio, white wine varieties, Chardonnay, vine, red wine varieties, wine, vines			Salurn	
False Negative	0.0		Has been found on			FDp, Flavescence dorèe phytoplasma			vineyard, vineyards, Pinot Grigio, white wine varieties, Chardonnay, vine, red wine varieties, wine, vines	
False Negative	0.0		Located in			American leafhopper			Europe	
False Positive	0.0			Affects			Flavescence dorée			vine
