Documents	# of Entities	# of Relationships	# of Entities (Not deduplicated)	# of Relationships (Not deduplicated)
102488	7	6	22	8
116664	30	5	44	5
98142	9	7	25	13
115183	10	15	20	21
99067	25	15	58	19
106151	5	4	19	10
100011	11	10	29	16
116983	9	9	16	14
103847	4	2	9	4
116223	11	5	22	8
116761	6	5	23	10
103963	10	13	44	22
105862	36	21	45	30
115243	33	46	49	62
105652	6	4	8	5
99132	3	3	6	6
102904	8	4	31	9
107272	31	44	70	66
98191	4	0	4	0
98579	6	1	11	1
106336	27	34	53	85
114259	32	41	53	47
117674	44	40	98	52
103660	15	16	37	30
116507	9	0	33	0
115106	31	41	63	56
107207	8	12	25	20
102584	13	9	21	11
105611	27	43	45	61
104329	6	5	16	9
98783	25	21	44	24
98392	5	3	11	6
116119	6	3	9	3
116070	23	17	30	31
99107	44	20	61	31
99613	2	1	18	5
98794	15	21	46	33
98917	15	11	21	11
104499	6	3	25	5
99614	1	0	7	0
106959	2	1	2	1
116125	20	6	31	8
106963	20	15	47	37
117299	13	14	36	23
98195	15	6	15	6
103669	3	1	17	3
114379	20	23	29	34
115211	5	5	9	5
104656	22	10	38	11
117892	2	0	3	0
117298	10	12	34	19
104119	0	0	0	0
107172	12	11	42	14
99984	3	3	3	3
116671	23	9	38	9
