PAIR TYPE	SIMILARITY	SAME TYPE	REF TYPE	PRED TYPE	SOURCE SIMILARITY	REF SOURCES	PRED SOURCE	TARGET SIMILARITY	REF TARGETS	PRED TARGET
Partial Match	0.5	True	Transmits	Transmit	1.0	Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama	Diaphorina citri. kuwayama	0.5	HLB	HLB Disease
Partial Match	0.1	True	Located in	Located in	0.5	HLB	HLB Disease	0.2	NOA, provinces of SANTIAGO DEL ESTERO, the region of Northwest Argentina	ARGENTINA
Partial Match	0.5	True	Has been found on	Have been found on	1.0	Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama	Diaphorina citri. kuwayama	0.5	citrus fruits, citrus, citrus plants	citrus farms
False Negative	0.0		Located in			HLB			provinces of JUJUY, Provinces of JUJUY	
False Negative	0.0		Located in			HLB			Province of CATAMARCA, Provinces of CATAMARCA	
False Negative	0.0		Located in			HLB			Province of TUCUMÁN, Provinces of TUCUMÁN	
False Negative	0.0		Located in			HLB			provinces of SALTA, Provinces of SALTA	
False Negative	0.0		Located in			HLB			NEA, provinces of MISIONES, Argentine Northeast region	
False Negative	0.0		Affects			HLB			citrus fruits, citrus, citrus plants	
False Negative	0.0		Located in			citrus fruits, citrus, citrus plants			NOA, provinces of SANTIAGO DEL ESTERO, the region of Northwest Argentina	
False Negative	0.0		Located in			Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama			NOA, provinces of SANTIAGO DEL ESTERO, the region of Northwest Argentina	
False Negative	0.0		Located in			Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama			provinces of ENTRE RÍOS	
False Negative	0.0		Located in			Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama			provinces of SALTA, Provinces of SALTA	
False Negative	0.0		Located in			Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama			provinces of FORMOSA	
False Negative	0.0		Located in			Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama			provinces of CHACO	
False Negative	0.0		Located in			Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama			NEA, provinces of MISIONES, Argentine Northeast region	
False Negative	0.0		Located in			Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama			provinces of SANTA FE	
False Negative	0.0		Located in			Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama			provinces of JUJUY, Provinces of JUJUY	
False Negative	0.0		Located in			Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama			provinces of CORRIENTES	
False Negative	0.0		Located in			citrus fruits, citrus, citrus plants			provinces of ENTRE RÍOS	
False Negative	0.0		Located in			citrus fruits, citrus, citrus plants			provinces of SALTA, Provinces of SALTA	
False Negative	0.0		Located in			citrus fruits, citrus, citrus plants			provinces of FORMOSA	
False Negative	0.0		Located in			citrus fruits, citrus, citrus plants			provinces of CHACO	
False Negative	0.0		Located in			citrus fruits, citrus, citrus plants			NEA, provinces of MISIONES, Argentine Northeast region	
False Negative	0.0		Located in			citrus fruits, citrus, citrus plants			provinces of SANTA FE	
False Negative	0.0		Located in			citrus fruits, citrus, citrus plants			provinces of JUJUY, Provinces of JUJUY	
False Negative	0.0		Located in			citrus fruits, citrus, citrus plants			provinces of CORRIENTES	
False Negative	0.0		Located in			Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama			Province of TUCUMÁN, Provinces of TUCUMÁN	
False Negative	0.0		Located in			Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama			Villa de Medinas	
False Negative	0.0		Located in			Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama			Chicligasta Department	
False Negative	0.0		Located in			Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama			Capayán Department	
False Negative	0.0		Located in			Citrus Leafhopper, HLB insect vector, Citrus Leafhoppers, citrus sharpshooter, Diaphorina citri, Diaphorina citri. Kuwayama, Diaphorina citri. kuwayama			Province of CATAMARCA, Provinces of CATAMARCA	
False Negative	0.0		Located in			Huanglongbing			Province of CATAMARCA, Provinces of CATAMARCA	
False Negative	0.0		Affects			Huanglongbing			citrus fruits, citrus, citrus plants	
False Negative	0.0		Located in			citrus fruits, citrus, citrus plants			Province of CATAMARCA, Provinces of CATAMARCA	
False Negative	0.0		Located in			Candidatus Liberibacter spp.			Province of CATAMARCA, Provinces of CATAMARCA	
False Negative	0.0		Causes			Candidatus Liberibacter spp.			HLB	
False Positive	0.0			Have been found on			Diaphorina citri. kuwayama			citrus-producing areas
False Positive	0.0			Located in			Province of TUCUMÁN			NORTHWEST ARGENTINA (NOA)
False Positive	0.0			Located in			Province of CATAMARCA			NORTHWEST ARGENTINA (NOA)
