	repeat-5	repeat-10	repeat-15	repeat-20
117674.txt	0.0655737704918033	0.06896551724137932	0.0655737704918033	0.0655737704918033
102904.txt	0.4	0.4	0.4	0.4
107172.txt	0.10526315789473685	0.10526315789473685	0.10526315789473685	0.10526315789473685
99067.txt	0.12903225806451615	0.12903225806451615	0.12903225806451615	0.13333333333333333
99107.txt	nan	0.35714285714285715	nan	nan
104499.txt	0.5714285714285715	0.6666666666666666	0.6666666666666666	0.6666666666666666
104329.txt	0.7499999999999999	0.7499999999999999	0.7499999999999999	0.7499999999999999
100011.txt	nan	0.4	0.4	0.4
115183.txt	nan	nan	0.2	0.2
105652.txt	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571
