	scenario-adv_temperature0.0_top-p1.0	scenario-adv_temperature0.5_top-p1.0	scenario-adv_temperature1.0_top-p0.1	scenario-adv_temperature1.0_top-p0.5	scenario-adv_temperature1.0_top-p1.0	scenario-adv_temperature1.5_top-p1.0	scenario-adv_temperature2.0_top-p1.0	
Texte1	1	1	1	1	1	1	0.6874999999999999	
Texte2	-0.014492754	-0.014492754	1	0.22794117647058898	1	-0.014492754	0.5471014492753624	
Texte3	1	1	1	1	0.5199999999999999	1	-0.108333333	
Texte4	0.6024200518582545	0.5306513409961676	0.5171404682274255	0.4230769230769226	0.3787335722819598	0.15122397620681757	0.24075924075924077	
Texte5	0.6174863387978141	0.4531250000000009	0.7177419354838709	0.29435483870967716	0.3076923076923078	0.14999999999999966	-0.191822883	
Texte6	0.4610507246376809	1	0.25426136363636315	0.47871572871572843	0.3215197956577268	0.28713858424725813	0.25545454545454505	
Texte7	0.460708782742681	0.4067796610169493	0.6057347670250893	0.44811727507904564	0.39829059829059826	0.07894736842105267	0.2762480699948531	
Texte8	0.380952380952381	0.3333333333333334	0.4791666666666664	0.42066210045662117	0.25193389592123777	0.11408657373440907	0.3388888888888889	
Texte9	0.5090439276485782	0.5764705882352957	0.36470588235294144	0.5090439276485782	0.36470588235294144	0.4411764705882353	0.17642924086223047	
Texte10	0.48999999999999966	0.4113029827315541	0.23349056603773638	0.17682926829268303	0.3928571428571427	0.37997347480106103	0.2949999999999996	
Texte11	0.2920918367346937	0.31636460554371015	0.13101604278074883	0.42891972993248284	0.23193685488767435	0.22096631205673736	-0.13252457	
Texte12	-0.082585834	0.010416666666666484	0.22379032258064463	0.16320166320166302	-0.041666667	-0.096923077	-0.2	
Texte13	0.3392227631358069	0.2914152840623418	0.47611111111111093	0.38714285714285807	0.0857081174438683	0.07758421113554796	-0.111111111	
