	scenario-adv_temperature0.0_top-p1.0	scenario-adv_temperature0.2_top-p1.0	scenario-adv_temperature0.4_top-p1.0	scenario-adv_temperature0.6_top-p1.0	scenario-adv_temperature0.8_top-p1.0	scenario-adv_temperature1.0_top-p0.0	scenario-adv_temperature1.0_top-p0.2	scenario-adv_temperature1.0_top-p0.4	scenario-adv_temperature1.0_top-p0.6	scenario-adv_temperature1.0_top-p0.8	scenario-adv_temperature1.0_top-p1.0	scenario-adv_temperature1.2_top-p1.0	scenario-adv_temperature1.4_top-p1.0	scenario-adv_temperature1.6_top-p1.0	scenario-adv_temperature1.8_top-p1.0	scenario-adv_temperature2.0_top-p1.0	
Texte1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5333333333333338	1	
Texte2	0.38679245283018865	0.6683673469387752	0.6683673469387752	0.14473684210526352	0.14473684210526352	0.38679245283018865	1	1	0.6683673469387754	1	0.6683673469387752	0.38679245283018904	0.2717086834733895	0.378468368479467	-0.011029412	0.35677530017152653	
Texte3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.25	
Texte4	0.23076923076923234	0.44397993311036754	0.1523972602739728	0.15466290466290475	0.16571428571428584	0.4463869463869458	0.2203742203742206	0.3235759493670886	0.10762483130904195	0.26904176904176874	0.07715166189742502	0.046778464254192714	-0.064967905	-0.040104948	-0.25	0	
Texte5	1	0.3333333333333333	0.051724137931034614	2.220446049250313e-16   	-0.059714045	1	0.4666666666666668	0.4666666666666665	0.5333333333333338	0.12499999999999989	-0.14	-0.132172131	-0.114631336	-0.139817629	-0.021671827	-0.25	
Texte6	0.36800526662277794	0.23913043478260862	0.43655303030302994	0.4172062904717853	0.3848288621646624	0.45833333333333354	0.1636029411764705	0.23768939393939423	0.32007400555041654	0.36170212765957444	0.23852183650615896	0.4373401534526852	0.33999999999999997	0.12832594235033248	-0.126373626	-0.112707535	
Texte7	1	0.6959459459459456	0.4107142857142855	0.26666666666666694	0.466484268125855	1	1	-0.029411765	0.6959459459459456	0.3575174825174825	0.21399821109123418	0.3669250645994832	0.23691860465116252	0.24166666666666703	-0.091954023	-0.192396313	
Texte8	1	1	1	1	0.4666666666666665	1	1	1	1	0.4034090909090909	0.3844049247606019	0.0971272229822163	0.40967016491754094	0.013282732447817852	0.21874999999999994	0.07156673114119896	
Texte9	0.5516877637130799	0.7115384615384606	0.1529411764705893	0.6456413890857549	0.7023809523809531	0.6062500000000003	0.464285714285714	0.6375143843498275	0.6062500000000003	0.5516877637130799	0.09909909909909867	0.4616977225672879	0.17548500881834225	-0.112938596	-0.116704481	0	
Texte10	1	-0.025641026	1	0.5502248875562218	0.3250000000000001	1	1	1	1	0.21052631578947487	0.3555555555555554	0.3778153153153153	0.2147256438969763	0.4773391812865495	0.11111111111111113	-0.12	
Texte11	1	1	0.6874999999999999	1	0.6874999999999999	1	1	1	1	1	0.2464114832535883	0.34343434343434337	0.06621392190152779	0.15275994865211784	-0.05	-0.19047619	
Texte12	0.7222222222222219	0.5428571428571429	0.3566176470588231	0.31428571428571417	0.5833333333333328	1	1	1	0.5428571428571425	-0.044642857	0.06417112299465202	0.17318634423897536	0.059650455927051434	-0.057886754	-0.112440191	0.03555555555555526	
Texte13	0.2937655472636819	0.27323103154305184	0.15178285641124073	0.20045006648709535	0.19565217391304443	0.29078014184397205	0.36046511627906946	0.2907801418439701	0.34148374548485766	0.2059211974466225	0.17085427135678416	0.180194805194805	0.003952569169960723	-0.19626574	0	0	
