	scenario-adv_temperature0.0_top-p1.0	scenario-adv_temperature0.5_top-p1.0	scenario-adv_temperature1.0_top-p1.0	scenario-adv_temperature1.0_top-p0.1	scenario-adv_temperature1.0_top-p0.5	
Texte1	1	1	1	1	1	
Texte2	1	1	1	1	1	
Texte3	0.4666666666666668	0.6323529411764707	0.1883116883116881	1	0.10714285714285768	
Texte4	0.4561317677756034	0.1077441077441078	0.18487445678416262	0.35579385403329067	0.4759528130671503	
Texte5	0.0801619433198381	0.34523809523809507	0.050127713920817725	0.15559190349621754	0.3419740777666997	
Texte6	-0.25	-0.25	-0.146666667	-0.25	1	
Texte7	-0.25	0.3749999999999995	-0.017228739	1	-0.12244898	
Texte8	1	0.5600000000000002	0.32564330079858034	1	1	
Texte9	0.03999999999999962	0.41738816738816764	0.08045977011494229	0.07894736842105321	0.07894736842105321	
Texte10	0.365079365079365	-0.087050298	-0.019204676	-0.104910714	0.42385444743935263	
Texte11	0.11868390129259695	0.5833333333333331	-0.111111111	0.11868390129259695	0.5	
Texte12	0.2929292929292926	-0.155830753	-0.150568182	0.19484702093397704	0.03837099811676049	
Texte13	-0.25	0.014829268292683582	-0.068400226	0.27280086346465193	0	
