Document	gpt-4o-mini	kimi	deepseek
Texte1	0.5535714285714282	1.0	1.0
Texte2	1.0	1.0	1.0
Texte3	1.0	0.4318181818181825	1.0
Texte4	0.22912713472485763	0.2854166666666669	0.3390804597701152
Texte5	0.26666666666666683	0.31722689075630284	0.18730158730158725
Texte6	0.39047619047619037	1.0	0.4819611470860314
Texte7	0.44444444444444403	0.5666666666666661	0.6017156862745094
Texte8	0.44930069930069944	0.25303030303030283	0.6072013093289687
Texte9	0.18153846153846137	0.2592592592592586	1.0
Texte10	0.3891402714932124	0.3749999999999996	0.22083333333333338
Texte11	0.07520325203252028	-0.01831896551724123	0.5564516129032256
Texte12	0.24107142857142858	0.5	1.0
Texte13	0.4300911854103339	0.35404807084124024	-0.00609756097560897
